"Ano";"Localidade";"Índice de Desenvolvimento Humano Municipal (IDHM) ";"Produto Interno Bruto (PIB) per Capita (R$ 1,00)";"Crimes de Ameaça ";"Crimes de Estelionato ";"Crimes de Estupro ";"Crimes de Furto ";"Crimes de Lesão Corporal ";"Crimes de Roubo ";"Furtos de Veículos ";"Ocorrências Envolvendo Tráfico de Drogas ";"Ocorrências Envolvendo Uso/Consumo de Drogas ";"Perturbação do Sossego/Tranquilidade ";"Roubos de Veículos "
"2018";"Estado do Paraná";"";"38.773";"110.917";"29.856";"6.691";"172.033";"64.417";"60.096";"17.678";"11.869";"16.172";"28.994";"7.885"
"2018";"Abatiá";"";"21.529";"101";"3";"5";"88";"58";"20";"4";"5";"11";"28";"4"
"2018";"Adrianópolis";"";"43.677";"43";"13";"9";"31";"32";"2";"2";"1";"3";"3";"-"
"2018";"Agudos do Sul";"";"22.088";"105";"12";"5";"100";"52";"19";"5";"5";"4";"8";"6"
"2018";"Almirante Tamandaré";"";"13.168";"1.151";"174";"68";"1.129";"660";"639";"176";"44";"81";"157";"44"
"2018";"Altamira do Paraná";"";"33.206";"34";"5";"2";"25";"22";"1";"2";"-";"-";"10";"-"
"2018";"Alto Paraíso";"";"34.432";"29";"6";"3";"22";"26";"1";"1";"12";"1";"8";"-"
"2018";"Alto Paraná";"";"22.431";"173";"38";"17";"160";"111";"40";"17";"14";"11";"28";"1"
"2018";"Alto Piquiri";"";"30.900";"90";"15";"10";"71";"46";"5";"7";"10";"10";"18";"3"
"2018";"Altônia";"";"17.247";"159";"24";"8";"169";"81";"6";"7";"14";"5";"33";"2"
"2018";"Alvorada do Sul";"";"23.482";"56";"9";"4";"145";"27";"17";"9";"4";"3";"7";"5"
"2018";"Amaporã";"";"25.692";"69";"1";"2";"71";"22";"5";"1";"3";"3";"8";"1"
"2018";"Ampére";"";"31.923";"299";"27";"7";"203";"155";"14";"20";"10";"15";"43";"2"
"2018";"Anahy";"";"30.290";"19";"-";"-";"20";"15";"4";"4";"2";"5";"8";"-"
"2018";"Andirá";"";"37.116";"287";"65";"31";"226";"122";"49";"14";"110";"24";"65";"5"
"2018";"Ângulo";"";"38.938";"21";"5";"2";"37";"18";"1";"3";"2";"2";"3";"-"
"2018";"Antonina";"";"28.313";"245";"31";"10";"458";"170";"71";"10";"35";"145";"120";"1"
"2018";"Antônio Olinto";"";"25.293";"65";"10";"3";"47";"50";"4";"3";"-";"2";"12";"1"
"2018";"Apucarana";"";"23.315";"1.498";"70";"59";"2.238";"744";"458";"176";"279";"330";"370";"47"
"2018";"Arapongas";"";"35.440";"864";"286";"36";"1.442";"483";"355";"223";"148";"372";"102";"33"
"2018";"Arapoti";"";"41.059";"316";"31";"15";"379";"180";"113";"39";"19";"13";"96";"7"
"2018";"Arapuã";"";"33.899";"27";"3";"-";"23";"5";"4";"1";"-";"-";"2";"1"
"2018";"Araruna";"";"32.537";"77";"4";"3";"159";"74";"19";"13";"5";"8";"19";"7"
