Ano,Localidade,Crimes de Ameaça ,Crimes de Estelionato ,Crimes de Estupro ,Crimes de Furto ,Crimes de Lesão Corporal ,Crimes de Roubo ,Furtos de Veículos ,Ocorrências Envolvendo Tráfico de Drogas ,Ocorrências Envolvendo Uso/Consumo de Drogas ,Perturbação do Sossego/Tranquilidade 
2018.0,Abatiá,101.0,3.0,5.0,88.0,58.0,20.0,4.0,5.0,11.0,28.0
2019.0,Abatiá,80.0,10.0,4.0,84.0,54.0,11.0,10.0,3.0,3.0,16.0
2020.0,Abatiá,70.0,23.0,4.0,68.0,40.0,9.0,4.0,4.0,2.0,10.0
2021.0,Abatiá,69.0,34.0,3.0,66.0,47.0,6.0,8.0,6.0,3.0,17.0
2022.0,Abatiá,70.0,51.0,3.0,47.0,48.0,2.0,5.0,2.0,3.0,13.0
2023.0,Abatiá,52.0,42.0,4.0,45.0,43.0,9.0,5.0,6.0,8.0,17.0
2018.0,Adrianópolis,43.0,13.0,9.0,31.0,32.0,2.0,2.0,1.0,3.0,3.0
2019.0,Adrianópolis,46.0,7.0,6.0,24.0,19.0,3.0,2.0,1.5,5.0,1.0
2020.0,Adrianópolis,56.0,24.0,4.0,22.0,22.0,2.0,2.0,1.5,6.0,3.0
2021.0,Adrianópolis,60.0,53.0,4.0,31.0,22.0,2.0,2.0,1.5,5.0,4.0
2022.0,Adrianópolis,46.0,32.0,7.0,29.0,37.0,2.0,2.0,2.0,5.0,4.0
2023.0,Adrianópolis,41.0,30.0,3.0,14.0,22.0,2.0,2.0,1.5,5.0,2.0
2018.0,Agudos do Sul,105.0,12.0,5.0,100.0,52.0,19.0,5.0,5.0,4.0,8.0
2019.0,Agudos do Sul,89.0,24.0,2.0,148.0,68.0,13.0,6.0,2.0,7.0,12.0
2020.0,Agudos do Sul,98.0,27.0,7.0,87.0,67.0,15.0,5.0,3.0,7.0,10.0
2021.0,Agudos do Sul,101.0,45.0,5.0,124.0,64.0,18.0,12.0,4.0,5.0,20.0
2022.0,Agudos do Sul,89.0,76.0,6.0,64.0,73.0,4.0,2.0,1.0,3.0,46.0
2023.0,Agudos do Sul,86.0,82.0,5.0,83.0,61.0,6.0,6.0,1.0,5.0,40.0
2018.0,Almirante Tamandaré,1.151,174.0,68.0,1.129,660.0,639.0,176.0,44.0,81.0,157.0
2019.0,Almirante Tamandaré,1.387,169.0,85.0,969.0,762.0,510.0,125.0,27.0,46.0,175.0
2020.0,Almirante Tamandaré,1.092,420.0,53.0,1.004,618.0,376.0,129.0,46.0,29.0,154.0
2021.0,Almirante Tamandaré,924.0,913.0,54.0,1.198,564.0,272.0,117.0,43.0,33.0,82.0
2022.0,Almirante Tamandaré,1.146,1.119,67.0,1.196,604.0,286.0,108.0,31.0,25.0,140.0
2023.0,Almirante Tamandaré,1.343,1.236,96.0,1.017,744.0,264.0,110.0,83.0,88.0,338.0
2018.0,Altamira do Paraná,34.0,5.0,2.0,25.0,22.0,1.0,2.0,1.0,1.0,10.0
2019.0,Altamira do Paraná,25.0,6.0,4.0,14.0,18.0,1.0,1.0,1.0,1.0,7.0
2020.0,Altamira do Paraná,32.0,12.0,3.0,17.0,16.0,1.0,1.0,1.0,1.0,16.0
2021.0,Altamira do Paraná,39.0,25.0,2.0,17.0,29.0,3.0,2.0,1.0,1.0,12.0
2022.0,Altamira do Paraná,21.0,21.0,6.0,13.0,19.0,1.0,1.0,1.0,1.0,7.0
2023.0,Altamira do Paraná,20.0,11.0,2.0,12.0,11.0,1.0,1.0,1.0,1.0,2.0
2018.0,Alto Paraná,173.0,38.0,17.0,160.0,111.0,40.0,17.0,14.0,11.0,28.0
2019.0,Alto Paraná,126.0,31.0,9.0,197.0,81.0,23.0,17.0,19.0,10.0,19.0
2020.0,Alto Paraná,95.0,73.0,10.0,139.0,58.0,26.0,10.0,18.0,6.0,16.0
2021.0,Alto Paraná,121.0,89.0,4.0,138.0,54.0,23.0,9.0,13.0,4.0,26.0
2022.0,Alto Paraná,158.0,110.0,11.0,175.0,83.0,16.0,9.0,8.0,2.0,20.0
2023.0,Alto Paraná,159.0,125.0,11.0,161.0,101.0,14.0,17.0,8.0,11.0,34.0
2018.0,Alto Paraíso,29.0,6.0,3.0,22.0,26.0,1.0,1.0,12.0,1.0,8.0
2019.0,Alto Paraíso,23.0,12.0,1.0,15.0,20.0,2.0,2.0,31.0,2.0,5.0
2020.0,Alto Paraíso,21.0,13.0,2.0,20.0,14.0,1.0,2.0,31.0,1.0,5.0
2021.0,Alto Paraíso,22.0,9.0,2.0,28.0,7.0,3.0,2.0,10.0,1.0,5.0
2022.0,Alto Paraíso,7.0,12.0,2.0,25.0,8.0,2.0,1.0,10.0,2.0,1.0
2023.0,Alto Paraíso,25.0,12.0,3.0,26.0,10.0,1.0,5.0,2.0,1.0,1.0
2018.0,Alto Piquiri,90.0,15.0,10.0,71.0,46.0,5.0,7.0,10.0,10.0,18.0
2019.0,Alto Piquiri,133.0,20.0,8.0,55.0,58.0,3.0,2.0,17.0,8.0,10.0
2020.0,Alto Piquiri,102.0,27.0,6.0,57.0,47.0,4.0,3.0,15.0,11.0,21.0
2021.0,Alto Piquiri,89.0,49.0,7.0,81.0,47.0,4.0,5.0,8.0,19.0,12.0
2022.0,Alto Piquiri,89.0,58.0,5.0,83.0,66.0,5.0,5.0,6.0,14.0,10.0
2023.0,Alto Piquiri,84.0,52.0,1.0,58.0,81.0,3.0,5.0,15.0,20.0,17.0
2018.0,Altônia,159.0,24.0,8.0,169.0,81.0,6.0,7.0,14.0,5.0,33.0
2019.0,Altônia,179.0,30.0,13.0,158.0,77.0,11.0,4.0,17.0,5.0,34.0
2020.0,Altônia,122.0,214.0,13.0,113.0,83.0,3.0,5.0,17.0,6.0,21.0
2021.0,Altônia,149.0,131.0,7.0,114.0,113.0,3.0,9.0,10.0,11.0,30.0
2022.0,Altônia,147.0,103.0,13.0,115.0,96.0,5.0,10.0,1.0,4.0,31.0
